image_path,number label,actual name,familiarity score,nameability score,color saliency,texture saliency,"BLIP-2, greedy, caption","BLIP-2, greedy, bool","BLIP-2, greedy, name","BLIP-2, greedy, real","BLIP-2, greedy, color and textures","BLIP-2, nucleus, caption","BLIP-2, nucleus, bool","BLIP-2, nucleus, name","BLIP-2, nucleus, real","BLIP-2, nucleus, color and textures","BLIP-2, beam, caption","BLIP-2, beam, bool","BLIP-2, beam, real","BLIP-2, beam, color and textures"
data/NOUN-2-600DPI/2001-600.jpg,2001,bee have trap,19,50,66,14,a pair of orange plastic toys on a white background,"Yes, it is a plastic egg",the object in this image is an orange plastic ball,A giant orange plastic ball,"(['Orange'], ['Plastic'])",puzzle puzzle toy for puppies,1 x plastic yellow egg - yes,a toilet paper roll,"I think it's a big, old, shiny gold plated copper tube!Lol what","([], [])",a pair of orange plastic toys on a white background,"No, I do not recognize this object.",This is an orange plastic ball with a hole in the middle,"(['Orange'], ['Plastic'])"
data/NOUN-2-600DPI/2002-600.jpg,2002,bookend,22,83,59,9,a red metal sculpture with a curved shape,"Yes, I recognize this object.",a red vase,A red vase,"(['Red'], [])",a small red sculpture with a curved shape,Yes,a vase,It's an empty vase.,"(['Red'], [])",a red metal sculpture on a white background,"Unknown",It's a red vase.,"(['Red'], [])"
data/NOUN-2-600DPI/2003-600.jpg,2003,fidget toy,59,74,19,0,a set of colorful wooden blocks arranged in a line,"Yes, it is a wooden block",a stack of multi-colored blocks on a white background,A toy that is made of wood and plastic,"([], ['Wooden'])",a set of wooden blocks made up of different colored pieces,Yes ÂÂÂÂÂÂÂÂÂÂÂÂÂÂÂÂÂÂ,the letter k ik-pok-ka-shab,A picture of a line of letters,"(['Red'], ['Wooden'])",a set of colorful wooden blocks on a white background,"Yes, I recognize this object.",This is a stack of wooden blocks.,"([], ['Wooden'])"
data/NOUN-2-600DPI/2004-600.jpg,2004,pencil sharpener,41,70,48,52,a yellow and orange plastic egg shaped object,"Yes, it is a plastic ball with a hole in the middle",the object in this image is an orange and yellow ball with a hole in the middle,A plastic egg shaped object with a hole in the middle,"(['Orange', 'Yellow'], ['Plastic'])",small okey egg orange yellow,"No, this is not a phone, it is a phone with the body of a fruit",a yellow and orange object,An orange rubber ball that has been polished by the hand,"(['Orange', 'Yellow'], [])",an orange and yellow plastic ball with a hole in the middle,"Unknown",This is an orange and yellow plastic ball with a hole in the middle,"(['Orange', 'Yellow'], ['Plastic'])"
data/NOUN-2-600DPI/2005-600.jpg,2005,fish tank stone,6,25,81,13,a pink and blue tie dye headband,"Yes, I recognize this object.",a rainbow tie-dye tie-dye tie-dye tie-dye tie-,A rainbow unicorn headband,"(['Blue', 'Pink'], [])",a pink and yellow tie dye unicorn head,this is a feather headband,rainbow unicorn head,Pink unicorn horn,"(['Yellow', 'Pink'], [])",a pink and blue tie dye headband sitting on top of a white surface,"Unknown",It's a tie-dye headband.,"(['Blue', 'Pink', 'White'], [])"
data/NOUN-2-600DPI/2006-600.jpg,2006,space ship top,34,64,31,3,a silver metal object with a red dot on it,"Yes, it is a star trek replicator",the object in this image is a model of the ufo from the movie 2001 a space odyssey,A space ship,"(['Red', 'Silver'], [])",a metal object with two red circles on top of it,It is the USS Enterprise from Star Trek,ufo!What are you doing to help your students?,It's a starfleet insignia!Aww I’m glad your feeling better.,"(['Red'], [])",a silver metal object on top of a white background,"No, I do not recognize this object.","I think it's a space station, but I don't know what kind of space station it is","(['Silver'], [])"
data/NOUN-2-600DPI/2007-600.jpg,2007,air blower for slr cameras,22,46,78,6,a black ball with a red handle,"Yes, it is a ball with a red handle",the object in this image is a black ball with a red handle,A rubber ball with a red handle,"(['Red', 'Black'], [])",black rubber ball with red handle on a white surface,"Yes/no, black cylinder on a red base with a red nozzle",black ball with red handle,"A rubber cock ring, just the right size for your small cock","(['Red', 'Black', 'White'], ['Rubber'])",a black ball with a red handle on a white background,"Unknown",This is a black rubber ball with a red handle,"(['Red', 'Black'], [])"
data/NOUN-2-600DPI/2008.jpg,2008,curlers formed together,34,25,48,16,a blue rubber toy with two arms,"Yes, it is a blue rubber band",a knot,A dog toy,"(['Blue'], ['Rubber'])",a picture of two blue and white balloons,"YES, it is a rope",a knot,An abalone,"(['Blue', 'White'], [])",a pair of blue and white rubber toys on a white background,"Unknown",I think it's a dog toy.,"(['Blue'], ['Rubber'])"
data/NOUN-2-600DPI/2009-600.jpg,2009,dog toy,47,78,65,45,a toy that looks like a spiky orange object,"Yes, it is a toy that is shaped like a letter x",an orange dog toy with spikes on it,A dog toy,"(['Orange'], [])",an orange spiked toy shaped like an x with spiky spikes on it,ÂÂÂÂÂÂÂÂÂÂÂÂÂÂÂÂÂÂÂ,orange,This is a dog's chew toy and the letter 'q' is made from hard plastic with a,"(['Orange'], [])",an orange dog toy with spikes on it,"Unknown","This is an orange dog toy that looks like a spiky, spiky, spiky, sp","(['Orange'], [])"
data/NOUN-2-600DPI/2010-600.jpg,2010,dog toy pet shop,66,52,50,25,a red and blue toy with colorful dots,"Yes, it is a red ball with blue and yellow dots",a red ball with multicolored dots on it,A dog toy,"(['Red', 'Blue'], [])",a red ball is made of many small blue and white dots,"Yes, of course, it is one of our ball dogs.",a corona-ball,It's a doggie dental toy.,"(['Red', 'Blue', 'White'], [])",a red dog toy with multicolored dots on it,"No, I do not recognize this object","This is a red ball with blue, yellow, and white dots on it","(['Red'], [])"
