image_path,number label,actual name,familiarity score,nameability score,color saliency,texture saliency,"BLIP-2, greedy, caption","BLIP-2, greedy, bool","BLIP-2, greedy, name","BLIP-2, greedy, real","BLIP-2, greedy, caption saliency","BLIP-2, greedy, bool saliency","BLIP-2, greedy, color saliency","BLIP-2, greedy, real saliency","BLIP-2, nucleus, caption","BLIP-2, nucleus, bool","BLIP-2, nucleus, name","BLIP-2, nucleus, real","BLIP-2, nucleus, caption saliency","BLIP-2, nucleus, bool saliency","BLIP-2, nucleus, color saliency","BLIP-2, nucleus, real saliency","BLIP-2, beam, caption","BLIP-2, beam, bool","BLIP-2, beam, name","BLIP-2, beam, real","BLIP-2, beam, caption saliency","BLIP-2, beam, bool saliency","BLIP-2, beam, color saliency","BLIP-2, beam, real saliency"
data/NOUN-2-600DPI/2001-600.jpg,2001,bee hive trap,19,50,66,14,a pair of orange plastic toys on a white background,"Yes, it is a plastic egg",a yellow plastic ball,A giant orange plastic ball,"(['Orange'], ['Plastic'])","([], ['Plastic'])","(['Yellow'], ['Plastic'])","(['Orange'], ['Plastic'])",a yellow plastic shell of a plastic toy,"Yes, I recognize this object",a catnip mitten,This is a light bulb,"(['Yellow'], ['Plastic'])","([], [])","([], [])","([], [])",a pair of orange plastic toys on a white background,"No, I do not recognize this object.",the object in this image is an orange plastic ball,This is an orange plastic ball with a hole in the middle,"(['Orange'], ['Plastic'])","([], [])","(['Orange'], ['Plastic'])","(['Orange'], ['Plastic'])"
data/NOUN-2-600DPI/2002-600.jpg,2002,bookend,22,83,59,9,a red metal sculpture with a curved shape,"Yes, I recognize this object.",a red vase,A red vase,"(['Red'], [])","([], [])","(['Red'], [])","(['Red'], [])",a metal sculpture in red with a curved piece of metal,I recognize this object,red sculpture with metal and wood legs,"A beautiful, colorful glass vase that you can place","(['Red'], [])","([], [])","(['Red'], [])","([], ['Lace'])",a red metal sculpture on a white background,"Yes or no, do you recognize this object?",a red vase,It's a red vase.,"(['Red'], [])","([], [])","(['Red'], [])","(['Red'], [])"
data/NOUN-2-600DPI/2003-600.jpg,2003,fidget toy,59,74,19,0,a set of colorful wooden blocks arranged in a line,"Yes, it is a wooden block",a wooden block,A toy that is made of wood and plastic,"([], ['Wooden'])","([], ['Wooden'])","([], ['Wooden'])","([], ['Plastic'])",color blocks with the letters e and g on them,Multicolored blocks,the toy tower,Some piece of wood with a string of colored cubes attached to it,"([], [])","(['Red'], [])","([], [])","(['Red'], [])",a set of colorful wooden blocks on a white background,"Yes, I recognize this object.",a stack of multi-colored blocks on a white background,This is a stack of wooden blocks.,"([], ['Wooden'])","([], [])","(['Red'], [])","([], ['Wooden'])"
data/NOUN-2-600DPI/2004-600.jpg,2004,pencil sharpener,41,70,48,52,a yellow and orange plastic egg shaped object,"Yes, it is a plastic ball with a hole in the middle",a ball,A plastic egg shaped object with a hole in the middle,"(['Orange', 'Yellow'], ['Plastic'])","([], ['Plastic'])","([], [])","([], ['Plastic'])",orange plastic ball with orange top and hole,"An orange and yellow plastic disc, with a hole cut through the center of it",a fruit,This is a light-emitting silicone ball that makes you blink,"(['Orange'], ['Plastic'])","(['Orange', 'Yellow'], ['Rough', 'Plastic'])","([], [])","([], [])",an orange and yellow plastic ball with a hole in the middle,"Yes or no, do you recognize this object?",the object in this image is an orange and yellow ball with a hole in the middle,This is an orange and yellow plastic ball with a hole in the middle,"(['Orange', 'Yellow'], ['Plastic'])","([], [])","(['Orange', 'Yellow'], [])","(['Orange', 'Yellow'], ['Plastic'])"
data/NOUN-2-600DPI/2005-600.jpg,2005,fish tank stone,6,25,81,13,a pink and blue tie dye headband,"Yes, I recognize this object.",a rainbow unicorn headband,A rainbow unicorn headband,"(['Blue', 'Pink'], [])","([], [])","([], [])","([], [])",rainbow tie dye hair headband,It is a colorful flower shaped headband.,a butterfly,Unicorn.,"([], [])","([], [])","([], [])","([], [])",a pink and blue tie dye headband sitting on top of a white surface,"Yes or no, do you recognize this object?",a rainbow tie-dye tie-dye tie-dye tie-dye tie-,It's a tie-dye headband.,"(['Blue', 'Pink', 'White'], [])","([], [])","([], [])","([], [])"
data/NOUN-2-600DPI/2006-600.jpg,2006,space ship top,34,64,31,3,a silver metal object with a red dot on it,"Yes, it is a star trek replicator",a star trek phaser,A space ship,"(['Red', 'Silver'], [])","([], [])","([], [])","([], [])",the starship ds-11 by jonathan mclane,Yes,the quesadilla,I think it's a toy space ship on a stand,"([], [])","([], [])","([], [])","(['Tan'], [])",a silver metal object on top of a white background,"No, I do not recognize this object.",the object in this image is a model of the ufo from the movie 2001 a space odyssey,"I think it's a space station, but I don't know what kind of space station it is","(['Silver'], [])","([], [])","([], [])","([], [])"
data/NOUN-2-600DPI/2007-600.jpg,2007,air blower for cleaning lenses on slr cameras,22,46,78,6,a black ball with a red handle,"Yes, it is a ball with a red handle",a ball,A rubber ball with a red handle,"(['Red', 'Black'], [])","(['Red'], [])","([], [])","(['Red'], ['Rubber'])",black plastic ball and a red handle,Black rubber ball with red handle for filling bottles,it's a rubber duckie!,A rubber toy on a stick.,"(['Red', 'Black'], ['Plastic'])","(['Red', 'Black'], ['Rubber'])","([], ['Rubber'])","([], ['Rubber'])",a black ball with a red handle on a white background,"Yes or no, do you recognize this object?",the object in this image is a black ball with a red handle,This is a black rubber ball with a red handle,"(['Red', 'Black'], [])","([], [])","(['Red', 'Black'], [])","(['Red', 'Black'], ['Rubber'])"
data/NOUN-2-600DPI/2008.jpg,2008,curlers formed together,34,25,48,16,a blue rubber toy with two arms,"Yes, it is a blue rubber band",a knot,A dog toy,"(['Blue'], ['Rubber'])","(['Blue'], ['Rubber'])","([], [])","([], [])",cassette - nike shoe cord,This is a large ball bearing made from blue foam rubber,a knot,The best way to get what you want in life is to never ask for it.,"([], [])","(['Blue'], ['Rubber'])","([], [])","([], [])",a pair of blue and white rubber toys on a white background,"Yes or no, do you recognize this object?",a knot,I think it's a dog toy.,"(['Blue'], ['Rubber'])","([], [])","([], [])","([], [])"
data/NOUN-2-600DPI/2009-600.jpg,2009,dog toy,47,78,65,45,a toy that looks like a spiky orange object,"Yes, it is a toy that is shaped like a letter x",a spiky orange toy,A dog toy,"(['Orange'], [])","([], [])","(['Orange'], [])","([], [])",the toy is shaped like an orange cross with spikes,"Yes or no, do you recognize this object?",dog toy,A dog toy,"(['Orange'], [])","([], [])","([], [])","([], [])",an orange dog toy with spikes on it,"Yes or no, do you recognize this object?",an orange dog toy with spikes on it,"This is an orange dog toy that looks like a spiky, spiky, spiky, sp","(['Orange'], [])","([], [])","(['Orange'], [])","(['Orange'], [])"
data/NOUN-2-600DPI/2010-600.jpg,2010,dog toy,66,52,50,25,a red and blue toy with colorful dots,"Yes, it is a red ball with blue and yellow dots",a red ball with blue and yellow dots,A dog toy,"(['Red', 'Blue'], [])","(['Red', 'Yellow', 'Blue'], [])","(['Red', 'Yellow', 'Blue'], [])","([], [])",dog chew toys small dog - large,red rubber with yellow dots,A dog toy.,A dog toy that just can't get enough treats!,"([], [])","(['Red', 'Yellow'], ['Rubber'])","([], [])","([], [])",a red dog toy with multicolored dots on it,"No, I do not recognize this object",a red ball with multicolored dots on it,"This is a red ball with blue, yellow, and white dots on it","(['Red'], [])","([], [])","(['Red'], [])","(['Red', 'Yellow', 'Blue', 'White'], [])"
