image,number label,actual name,familiarity score,nameability score,color saliency,texture saliency,"BLIP-2, greedy, caption","BLIP-2, beam, caption","BLIP-2, nucleus, caption","BLIP-2, greedy, bool","BLIP-2, beam, bool","BLIP-2, nucleus, bool","BLIP-2, greedy, name","BLIP-2, nucleus, name","BLIP-2, greedy, real","BLIP-2, beam, real","BLIP-2, nucleus, real","BLIP-2, greedy, color and textures","BLIP-2, nucleus, color and textures","BLIP-2, beam, color and textures",color greedy,color nucleus,color beam,texture greedy,texture nucleus,texture beam,length greedy,length nucleus,length beam,BERTScore beam real,BERTScore greedy real,BERTScore nucleus real,BERTScore nameability caption,BERTScore nameability real
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=150x150 at 0x26D1A748340>,2001,bee have trap,19,50,66,14,a pair of orange plastic toys on a white background,a pair of orange plastic toys on a white background,puzzle puzzle toy for puppies,"Yes, it is a plastic egg","No, I do not recognize this object.",1 x plastic yellow egg - yes,the object in this image is an orange plastic ball,a toilet paper roll,A giant orange plastic ball,This is an orange plastic ball with a hole in the middle,"I think it's a big, old, shiny gold plated copper tube!Lol what",   Orange      Plastic   ,        ,   Orange      Plastic   ,True,False,True,True,False,True,10,5,10,0.84884745,0.8506827,0.8388355,0.90331894,0.8692963
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=150x150 at 0x26D1A748640>,2002,bookend,22,83,59,9,a red metal sculpture with a curved shape,a red metal sculpture on a white background,a small red sculpture with a curved shape,"Yes, I recognize this object.",Unknown,Yes,a red vase,a vase,A red vase,It's a red vase.,It's an empty vase.,   Red       ,   Red       ,   Red       ,True,True,True,False,False,False,8,8,8,0.8210359,0.82302487,0.8207183,0.94075894,0.9479816
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=150x150 at 0x26D1B3B2E20>,2003,fidget toy,59,74,19,0,a set of colorful wooden blocks arranged in a line,a set of colorful wooden blocks on a white background,a set of wooden blocks made up of different colored pieces,"Yes, it is a wooden block","Yes, I recognize this object.",Yes ÂÂÂÂÂÂÂÂÂÂÂÂÂÂÂÂÂÂ,a stack of multi-colored blocks on a white background,the letter k ik-pok-ka-shab,A toy that is made of wood and plastic,This is a stack of wooden blocks.,A picture of a line of letters,       Wooden   ,   Red      Wooden   ,       Wooden   ,False,True,False,True,True,True,10,11,10,0.86505324,0.8842352,0.86170846,0.93060845,0.8849006
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=150x150 at 0x26D1B3B2430>,2004,pencil sharpener,41,70,48,52,a yellow and orange plastic egg shaped object,an orange and yellow plastic ball with a hole in the middle,small okey egg orange yellow,"Yes, it is a plastic ball with a hole in the middle",Unknown,"No, this is not a phone, it is a phone with the body of a fruit",the object in this image is an orange and yellow ball with a hole in the middle,a yellow and orange object,A plastic egg shaped object with a hole in the middle,This is an orange and yellow plastic ball with a hole in the middle,An orange rubber ball that has been polished by the hand,   Orange    Yellow      Plastic   ,   Orange    Yellow       ,   Orange    Yellow      Plastic   ,True,True,True,True,False,True,8,5,12,0.8022803,0.81607574,0.8235254,0.8625569,0.90242404
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=150x150 at 0x26D1B3B2820>,2005,fish tank stone,6,25,81,13,a pink and blue tie dye headband,a pink and blue tie dye headband sitting on top of a white surface,a pink and yellow tie dye unicorn head,"Yes, I recognize this object.",Unknown,this is a feather headband,a rainbow tie-dye tie-dye tie-dye tie-dye tie-,rainbow unicorn head,A rainbow unicorn headband,It's a tie-dye headband.,Pink unicorn horn,   Blue    Pink       ,   Yellow    Pink       ,   Blue    Pink    White       ,True,True,True,False,False,False,7,8,14,0.86121655,0.8795327,0.89078844,0.9432249,0.8996279
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=150x150 at 0x26D1B3B21C0>,2006,space ship top,34,64,31,3,a silver metal object with a red dot on it,a silver metal object on top of a white background,a metal object with two red circles on top of it,"Yes, it is a star trek replicator","No, I do not recognize this object.",It is the USS Enterprise from Star Trek,the object in this image is a model of the ufo from the movie 2001 a space odyssey,ufo!What are you doing to help your students?,A space ship,"I think it's a space station, but I don't know what kind of space station it is",It's a starfleet insignia!Aww I’m glad your feeling better.,   Red    Silver       ,   Red       ,   Silver       ,True,True,True,False,False,False,10,11,10,0.80180043,0.86840355,0.8096193,0.9263875,0.8525869
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=150x150 at 0x26D19404CA0>,2007,air blower for slr cameras,22,46,78,6,a black ball with a red handle,a black ball with a red handle on a white background,black rubber ball with red handle on a white surface,"Yes, it is a ball with a red handle",Unknown,"Yes/no, black cylinder on a red base with a red nozzle",the object in this image is a black ball with a red handle,black ball with red handle,A rubber ball with a red handle,This is a black rubber ball with a red handle,"A rubber cock ring, just the right size for your small cock",   Red    Black       ,   Red    Black    White      Rubber   ,   Red    Black       ,True,True,True,False,True,False,7,10,11,0.8097368,0.8205186,0.83431077,0.9551477,0.9022794
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=150x150 at 0x26D1B3A3A30>,2008,curlers formed together,34,25,48,16,a blue rubber toy with two arms,a pair of blue and white rubber toys on a white background,a picture of two blue and white balloons,"Yes, it is a blue rubber band",Unknown,"YES, it is a rope",a knot,a knot,A dog toy,I think it's a dog toy.,An abalone,   Blue      Rubber   ,   Blue    White       ,   Blue      Rubber   ,True,True,True,True,False,True,7,8,12,0.8386263,0.8320077,0.81681854,0.8984888,0.87238497
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=150x150 at 0x26D1B3F8460>,2009,dog toy,47,78,65,45,a toy that looks like a spiky orange object,an orange dog toy with spikes on it,an orange spiked toy shaped like an x with spiky spikes on it,"Yes, it is a toy that is shaped like a letter x",Unknown,ÂÂÂÂÂÂÂÂÂÂÂÂÂÂÂÂÂÂÂ,an orange dog toy with spikes on it,orange,A dog toy,"This is an orange dog toy that looks like a spiky, spiky, spiky, sp",This is a dog's chew toy and the letter 'q' is made from hard plastic with a,   Orange       ,   Orange       ,   Orange       ,True,True,True,False,False,False,9,13,8,0.83301216,0.9566142,0.8584324,0.9217985,0.8546036
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=150x150 at 0x26D1B3F8760>,2010,dog toy pet shop,66,52,50,25,a red and blue toy with colorful dots,a red dog toy with multicolored dots on it,a red ball is made of many small blue and white dots,"Yes, it is a red ball with blue and yellow dots","No, I do not recognize this object","Yes, of course, it is one of our ball dogs.",a red ball with multicolored dots on it,a corona-ball,A dog toy,"This is a red ball with blue, yellow, and white dots on it",It's a doggie dental toy.,   Red    Blue       ,   Red    Blue    White       ,   Red       ,True,True,True,False,False,False,8,12,9,0.8168355,0.9219152,0.88727343,0.8968649,0.8707436
