image_path,number label,actual name,familiarity score,nameability score,color saliency,texture saliency,"BLIP-2, OPT-2.7b caption, greedy","BLIP-2, greedy, color and textures","BLIP-2, OPT-2.7b caption, nucleus sampling","BLIP-2, nucleus, color and textures","BLIP-2, OPT-2.7b caption, beam search","BLIP-2, beam, color and textures"
data/NOUN-2-600DPI/2001-600.jpg,2001,bee have trap,19,50,66,14,a pair of orange plastic toys on a white background,"(['Orange'], ['Plastic'])",a pair of plastic orange balls,"(['Orange'], ['Plastic'])",a pair of orange plastic toys on a white background,"(['Orange'], ['Plastic'])"
data/NOUN-2-600DPI/2002-600.jpg,2002,bookend,22,83,59,9,a red metal sculpture with a curved shape,"(['Red'], [])",modern modern modern sculpture on white background,"([], [])",a red metal sculpture on a white background,"(['Red'], [])"
data/NOUN-2-600DPI/2003-600.jpg,2003,fidget toy,59,74,19,0,a set of colorful wooden blocks arranged in a line,"([], ['Wooden'])",colorful wooden blocks arranged in a way that looks like letters,"([], ['Wooden'])",a set of colorful wooden blocks on a white background,"([], ['Wooden'])"
data/NOUN-2-600DPI/2004-600.jpg,2004,pencil sharpener,41,70,48,52,a yellow and orange plastic egg shaped object,"(['Orange', 'Yellow'], ['Plastic'])",a round yellow and orange toothbrush head,"(['Orange', 'Yellow'], [])",an orange and yellow plastic ball with a hole in the middle,"(['Orange', 'Yellow'], ['Plastic'])"
data/NOUN-2-600DPI/2005-600.jpg,2005,fish tank stone,6,25,81,13,a pink and blue tie dye headband,"(['Blue', 'Pink'], [])",a tie dyed plastic cup with rainbow wings,"([], ['Plastic'])",a pink and blue tie dye headband sitting on top of a white surface,"(['Blue', 'Pink', 'White'], [])"
data/NOUN-2-600DPI/2006-600.jpg,2006,space ship top,34,64,31,3,a silver metal object with a red dot on it,"(['Red', 'Silver'], [])",a star trek style metal space vehicle on a white background,"([], [])",a silver metal object on top of a white background,"(['Silver'], [])"
data/NOUN-2-600DPI/2007-600.jpg,2007,air blower for slr cameras,22,46,78,6,a black ball with a red handle,"(['Red', 'Black'], [])",drum ball - 3-4-8 black - tuff-tuff ball - 4mm,"(['Black'], [])",a black ball with a red handle on a white background,"(['Red', 'Black'], [])"
data/NOUN-2-600DPI/2008.jpg,2008,curlers formed together,34,25,48,16,a blue rubber toy with two arms,"(['Blue'], ['Rubber'])",an image of a white pillow with a blue handle,"(['Blue', 'White'], [])",a pair of blue and white rubber toys on a white background,"(['Blue'], ['Rubber'])"
data/NOUN-2-600DPI/2009-600.jpg,2009,dog toy,47,78,65,45,a toy that looks like a spiky orange object,"(['Orange'], [])",orange rubber ball in front of white background,"(['Orange'], ['Rubber'])",an orange dog toy with spikes on it,"(['Orange'], [])"
data/NOUN-2-600DPI/2010-600.jpg,2010,dog toy pet shop,66,52,50,25,a red and blue toy with colorful dots,"(['Red', 'Blue'], [])",dog chew bone - pet dog toys,"([], [])",a red dog toy with multicolored dots on it,"(['Red'], [])"
