Unnamed: 0.1,Unnamed: 0,vg_image_id,vg_object_id,link_mn,link_vg,vg_obj_name,vg_domain,vg_synset,vg_same_object,vg_adequacy_mean,vg_inadequacy_type,vg_image_name,vg_cat,bbox_xywh,clusters,topname,responses,incorrect,singletons,adequacy_mean,inadequacy_type,total_responses,perc_top,H,N,domain,split,same_object,correct_responses,n_incorrect,valid_responses,"BLIP-2, greedy decode","BLIP-2, nucleus sampling decode","BLIP-2, beam search decode"
0,7449,2346899,895584,http://object-naming-amore.upf.edu//2346899_895584_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K/2346899.jpg,table,home,furnishing.n.02,{},1.0,{'None': 1.0},2346899.jpg,"instrumentality, instrumentation","[0, 338, 375, 161]","[{2: ['plate']}, {28: ['table']}, {2: ['food']}]",table,{'table': 28},"{'plate': 2, 'food': 2}","{'tabletop': 1, 'dinner table': 1, 'sandwich': 1, 'cup': 1}","{'plate': 0.33, 'food': 0.5, 'table': 1.0}","{'plate': {'bounding box': 1.0}, 'food': {'None': 0.3, 'bounding box': 0.7}, 'table': {'None': 1.0}}",28,1.0,0.0,1,home,train,"{'plate': {'plate': 1.0, 'food': 0.0, 'table': 0.0}, 'food': {'plate': 0.0, 'food': 1.0, 'table': 0.0}, 'table': {'plate': 0.0, 'food': 0.0, 'table': 1.0}}",28,4,['table'],a sandwich,,a breakfast sandwich on a plate with a cup of coffee on the table next to it
1,474,4220,1557332,http://object-naming-amore.upf.edu//4220_1557332_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K_2/4220.jpg,table,home,furnishing.n.02,"{'board': 0.83, 'plank': 0.83, 'platform': 0.83, 'wood': 0.83}",0.5,"{'visual': 0.7, 'None': 0.3}",4220.jpg,"instrumentality, instrumentation","[571, 39, 229, 423]","[{18: ['platform', 'plank', 'wood', 'board']}, {3: ['pant']}, {2: ['glows']}, {2: ['man']}, {2: ['watch']}]",board,"{'board': 9, 'plank': 5, 'wood': 2, 'platform': 2}","{'pant': 3, 'watch': 2, 'man': 2, 'glows': 2}","{'wall': 1, 'pavement': 1, 'floor': 1, 'door': 1, 'tarp': 1, 'wood plank': 1, 'helmet': 1, 'arm': 1}","{'pant': 0.42, 'man': 0.42, 'watch': 0.42, 'glows': 0.08, 'board': 1.0, 'plank': 1.0, 'wood': 0.92, 'platform': 1.0}","{'pant': {'bounding box': 1.0}, 'man': {'bounding box': 1.0}, 'watch': {'bounding box': 1.0}, 'glows': {'other': 1.0}, 'board': {'None': 1.0}, 'plank': {'None': 1.0}, 'wood': {'visual': 0.2, 'None': 0.8}, 'platform': {'None': 1.0}}",18,0.5,1.717760252141333,4,home,val,"{'pant': {'pant': 1.0, 'man': 0.0, 'watch': 0.0, 'glows': 0.0, 'board': 0.0, 'plank': 0.0, 'wood': 0.0, 'platform': 0.0}, 'man': {'pant': 0.0, 'man': 1.0, 'watch': 0.0, 'glows': 0.0, 'board': 0.0, 'plank': 0.0, 'wood': 0.0, 'platform': 0.0}, 'watch': {'pant': 0.0, 'man': 0.0, 'watch': 1.0, 'glows': 0.0, 'board': 0.0, 'plank': 0.0, 'wood': 0.0, 'platform': 0.0}, 'glows': {'pant': 0.0, 'man': 0.0, 'watch': 0.0, 'glows': 1.0, 'board': 0.0, 'plank': 0.0, 'wood': 0.0, 'platform': 0.0}, 'board': {'pant': 0.0, 'man': 0.0, 'watch': 0.0, 'glows': 0.0, 'board': 1.0, 'plank': 1.0, 'wood': 1.0, 'platform': 1.0}, 'plank': {'pant': 0.0, 'man': 0.0, 'watch': 0.0, 'glows': 0.0, 'board': 1.0, 'plank': 1.0, 'wood': 1.0, 'platform': 1.0}, 'wood': {'pant': 0.0, 'man': 0.0, 'watch': 0.0, 'glows': 0.0, 'board': 1.0, 'plank': 1.0, 'wood': 1.0, 'platform': 1.0}, 'platform': {'pant': 0.0, 'man': 0.0, 'watch': 0.0, 'glows': 0.0, 'board': 1.0, 'plank': 1.0, 'wood': 1.0, 'platform': 1.0}}",18,9,"['board', 'wood', 'platform']",The ladder,"Ladder, ladder, ladder, ladders, ladders, ladders, ladders",Ladder
2,22524,2407117,2718317,http://object-naming-amore.upf.edu//2407117_2718317_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2407117.jpg,bed,home,furnishing.n.02,{},1.0,{'None': 1.0},2407117.jpg,"instrumentality, instrumentation","[220, 0, 232, 327]",[{34: ['bed']}],bed,{'bed': 34},{},"{'beat': 1, 'bed set': 1}",{'bed': 1.0},{'bed': {'None': 1.0}},34,1.0,0.0,1,home,train,{'bed': {'bed': 1.0}},34,0,['bed'],The bed in the bedroom,Château du bain,The bed in the master bedroom of the château de châteauneuf du
3,16454,2380035,1351491,http://object-naming-amore.upf.edu//2380035_1351491_supercat_ambiguous.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2380035.jpg,pan,home,kitchen_utensil.n.01,{'table': 0.33},1.0,{'None': 1.0},2380035.jpg,"instrumentality, instrumentation","[0, 255, 332, 241]","[{11: ['donuts', 'doughnuts', 'cupcakes']}, {19: ['table']}]",table,{'table': 19},"{'donuts': 6, 'doughnuts': 3, 'cupcakes': 2}","{'pan': 1, 'tray': 1, 'donut': 1, 'plate': 1, 'cake': 1}","{'doughnuts': 0.17, 'donuts': 0.17, 'cupcakes': 0.17, 'table': 1.0}","{'doughnuts': {'bounding box': 1.0}, 'donuts': {'bounding box': 1.0}, 'cupcakes': {'bounding box': 0.3, 'visual': 0.7}, 'table': {'None': 1.0}}",19,1.0,0.0,1,home,train,"{'doughnuts': {'doughnuts': 1.0, 'donuts': 1.0, 'cupcakes': 1.0, 'table': 0.0}, 'donuts': {'doughnuts': 1.0, 'donuts': 1.0, 'cupcakes': 1.0, 'table': 0.0}, 'cupcakes': {'doughnuts': 1.0, 'donuts': 1.0, 'cupcakes': 1.0, 'table': 0.0}, 'table': {'doughnuts': 0.0, 'donuts': 0.0, 'cupcakes': 0.0, 'table': 1.0}}",19,11,['table'],A boy with a cake with candles on it,this is a boy with a bunch of donuts sitting on a metal tray and lit up candles,The boy in the orange shirt with the candles on the donuts
4,15417,2376149,2212540,http://object-naming-amore.upf.edu//2376149_2212540_seed_ambiguous.png,https://cs.stanford.edu/people/rak248/VG_100K/2376149.jpg,counter,home,furnishing.n.02,"{'countertop': 1.0, 'table': 1.0}",1.0,{'None': 1.0},2376149.jpg,"instrumentality, instrumentation","[26, 227, 472, 146]","[{31: ['countertop', 'table', 'counter']}, {2: ['paper']}]",counter,"{'counter': 17, 'table': 7, 'countertop': 7}",{'paper': 2},"{'key board': 1, 'desk': 1}","{'paper': 0.5, 'counter': 1.0, 'table': 0.83, 'countertop': 1.0}","{'paper': {'bounding box': 1.0}, 'counter': {'None': 1.0}, 'table': {'None': 0.7, 'visual': 0.3}, 'countertop': {'None': 1.0}}",31,0.5483870967741935,1.444846722965513,3,home,train,"{'paper': {'paper': 1.0, 'counter': 0.0, 'table': 0.0, 'countertop': 0.0}, 'counter': {'paper': 0.0, 'counter': 1.0, 'table': 1.0, 'countertop': 1.0}, 'table': {'paper': 0.0, 'counter': 1.0, 'table': 1.0, 'countertop': 1.0}, 'countertop': {'paper': 0.0, 'counter': 1.0, 'table': 1.0, 'countertop': 1.0}}",31,2,"['counter', 'table', 'countertop']",Microwave,Microwave oven,Microwave
5,1717,2317892,2862002,http://object-naming-amore.upf.edu//2317892_2862002_supercat_unique.png,https://cs.stanford.edu/people/rak248/VG_100K/2317892.jpg,bench,home,furnishing.n.02,{},1.0,{'None': 1.0},2317892.jpg,"instrumentality, instrumentation","[101, 214, 399, 161]","[{3: ['leash']}, {27: ['bench']}]",bench,{'bench': 27},{'leash': 3},"{'rhombencephalon': 1, 'stick': 1}","{'leash': 0.17, 'bench': 1.0}","{'leash': {'bounding box': 1.0}, 'bench': {'None': 1.0}}",27,1.0,0.0,1,home,train,"{'leash': {'leash': 1.0, 'bench': 0.0}, 'bench': {'leash': 0.0, 'bench': 1.0}}",27,3,['bench'],The dog,"The white dog is in the fence and in the red box, with the name dog, the red",This is a dog sitting on a bench
6,14987,2374631,725719,http://object-naming-amore.upf.edu//2374631_725719_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K/2374631.jpg,counter,home,furnishing.n.02,"{'table': 0.67, 'vanity': 0.67, 'countertop': 1.0}",1.0,{'None': 1.0},2374631.jpg,"instrumentality, instrumentation","[0, 171, 212, 203]","[{29: ['countertop', 'table', 'vanity', 'counter']}, {2: ['mobile']}]",counter,"{'counter': 20, 'table': 4, 'countertop': 3, 'vanity': 2}",{'mobile': 2},"{'mobile phone': 1, 'white table': 1, 'sink': 1, 'cabinet': 1, 'bathroom counter': 1}","{'mobile': 0.33, 'counter': 1.0, 'table': 0.67, 'countertop': 1.0, 'vanity': 0.67}","{'mobile': {'bounding box': 0.7, 'other': 0.3}, 'counter': {'None': 1.0}, 'table': {'None': 0.7, 'other': 0.3}, 'countertop': {'None': 1.0}, 'vanity': {'None': 0.7, 'other': 0.3}}",29,0.6896551724137931,1.3685517054754786,4,home,train,"{'mobile': {'mobile': 1.0, 'counter': 0.0, 'table': 0.0, 'countertop': 0.0, 'vanity': 0.0}, 'counter': {'mobile': 0.0, 'counter': 1.0, 'table': 0.67, 'countertop': 1.0, 'vanity': 0.67}, 'table': {'mobile': 0.0, 'counter': 0.67, 'table': 1.0, 'countertop': 0.67, 'vanity': 0.67}, 'countertop': {'mobile': 0.0, 'counter': 1.0, 'table': 0.67, 'countertop': 1.0, 'vanity': 0.67}, 'vanity': {'mobile': 0.0, 'counter': 0.67, 'table': 0.67, 'countertop': 0.67, 'vanity': 1.0}}",29,2,"['counter', 'countertop', 'vanity']",Toilet paper holder,"Bathroom, counter, toilet, sink, washcloth",Toilet paper holder
7,16352,2379644,1355701,http://object-naming-amore.upf.edu//2379644_1355701_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2379644.jpg,table,home,furnishing.n.02,{},1.0,{'None': 1.0},2379644.jpg,"instrumentality, instrumentation","[0, 0, 496, 109]","[{5: ['plate']}, {23: ['table']}, {4: ['broccoli']}]",table,{'table': 23},"{'plate': 5, 'broccoli': 4}","{'food': 1, 'tablecloth': 1, 'tabletop': 1}","{'broccoli': 0.33, 'plate': 0.33, 'table': 1.0}","{'broccoli': {'bounding box': 1.0}, 'plate': {'bounding box': 1.0}, 'table': {'None': 1.0}}",23,1.0,0.0,1,home,train,"{'broccoli': {'broccoli': 1.0, 'plate': 0.0, 'table': 0.0}, 'plate': {'broccoli': 0.0, 'plate': 1.0, 'table': 0.0}, 'table': {'broccoli': 0.0, 'plate': 0.0, 'table': 1.0}}",23,9,['table'],The plate with the meat and broccoli,A piece of steak on a white plate with some broccoli in the middle,Steak and Broccoli
8,4933,2335343,3148842,http://object-naming-amore.upf.edu//2335343_3148842_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K/2335343.jpg,table,home,furnishing.n.02,{},1.0,{'None': 1.0},2335343.jpg,"instrumentality, instrumentation","[0, 273, 499, 226]","[{2: ['food']}, {30: ['table']}, {2: ['cup']}]",table,{'table': 30},"{'cup': 2, 'food': 2}","{'snakes': 1, 'dinning table': 1}","{'cup': 0.0, 'food': 0.17, 'table': 1.0}","{'cup': {'bounding box': 1.0}, 'food': {'bounding box': 1.0}, 'table': {'None': 1.0}}",30,1.0,0.0,1,home,train,"{'cup': {'cup': 1.0, 'food': 0.0, 'table': 0.0}, 'food': {'cup': 0.0, 'food': 1.0, 'table': 0.0}, 'table': {'cup': 0.0, 'food': 0.0, 'table': 1.0}}",30,4,['table'],The red box with the first name that comes to mind,it's a picture of the table with the people at the table,The red box with the first name that comes to mind is the red box with the first name that
9,14745,2373733,1799473,http://object-naming-amore.upf.edu//2373733_1799473_seed_ambiguous.png,https://cs.stanford.edu/people/rak248/VG_100K/2373733.jpg,curtain,home,furnishing.n.02,{},1.0,{'None': 1.0},2373733.jpg,"instrumentality, instrumentation","[74, 0, 299, 247]","[{25: ['curtain']}, {11: ['cat']}]",curtain,{'curtain': 25},{'cat': 11},{},"{'cat': 0.0, 'curtain': 1.0}","{'cat': {'bounding box': 1.0}, 'curtain': {'None': 1.0}}",25,1.0,0.0,1,home,train,"{'cat': {'cat': 1.0, 'curtain': 0.0}, 'curtain': {'cat': 0.0, 'curtain': 1.0}}",25,11,['curtain'],cat,The cat,The cat
