Unnamed: 0.1,Unnamed: 0,vg_image_id,vg_object_id,link_mn,link_vg,vg_obj_name,"BLIP-2, greedy decode","BLIP-2, nucleus sampling decode","BLIP-2, beam search decode"
0,7449,2346899,895584,http://object-naming-amore.upf.edu//2346899_895584_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K/2346899.jpg,table,a sandwich,,a breakfast sandwich on a plate with a cup of coffee on the table next to it
1,474,4220,1557332,http://object-naming-amore.upf.edu//4220_1557332_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K_2/4220.jpg,table,The ladder,"Ladder, ladder, ladder, ladders, ladders, ladders, ladders",Ladder
2,22524,2407117,2718317,http://object-naming-amore.upf.edu//2407117_2718317_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2407117.jpg,bed,The bed in the bedroom,Château du bain,The bed in the master bedroom of the château de châteauneuf du
3,16454,2380035,1351491,http://object-naming-amore.upf.edu//2380035_1351491_supercat_ambiguous.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2380035.jpg,pan,A boy with a cake with candles on it,this is a boy with a bunch of donuts sitting on a metal tray and lit up candles,The boy in the orange shirt with the candles on the donuts
4,15417,2376149,2212540,http://object-naming-amore.upf.edu//2376149_2212540_seed_ambiguous.png,https://cs.stanford.edu/people/rak248/VG_100K/2376149.jpg,counter,Microwave,Microwave oven,Microwave
5,1717,2317892,2862002,http://object-naming-amore.upf.edu//2317892_2862002_supercat_unique.png,https://cs.stanford.edu/people/rak248/VG_100K/2317892.jpg,bench,The dog,"The white dog is in the fence and in the red box, with the name dog, the red",This is a dog sitting on a bench
6,14987,2374631,725719,http://object-naming-amore.upf.edu//2374631_725719_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K/2374631.jpg,counter,Toilet paper holder,"Bathroom, counter, toilet, sink, washcloth",Toilet paper holder
7,16352,2379644,1355701,http://object-naming-amore.upf.edu//2379644_1355701_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2379644.jpg,table,The plate with the meat and broccoli,A piece of steak on a white plate with some broccoli in the middle,Steak and Broccoli
8,4933,2335343,3148842,http://object-naming-amore.upf.edu//2335343_3148842_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K/2335343.jpg,table,The red box with the first name that comes to mind,it's a picture of the table with the people at the table,The red box with the first name that comes to mind is the red box with the first name that
9,14745,2373733,1799473,http://object-naming-amore.upf.edu//2373733_1799473_seed_ambiguous.png,https://cs.stanford.edu/people/rak248/VG_100K/2373733.jpg,curtain,cat,The cat,The cat
10,6052,2341246,3656372,http://object-naming-amore.upf.edu//2341246_3656372_seed_ambiguous.png,https://cs.stanford.edu/people/rak248/VG_100K/2341246.jpg,bedframe,bed,The bed frame,Bedroom
11,1336,2316339,1054469,http://object-naming-amore.upf.edu//2316339_1054469_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K/2316339.jpg,sofa,A red chair,A very big red chair,A red chair in a living room with pictures on the wall
12,10655,2359102,796043,http://object-naming-amore.upf.edu//2359102_796043_supercat_unique.png,https://cs.stanford.edu/people/rak248/VG_100K/2359102.jpg,table,Wine glass,Red box with one word on it,A glass of wine
13,17607,2385122,1300814,http://object-naming-amore.upf.edu//2385122_1300814_supercat_unique.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2385122.jpg,table,a doughnut,a doughnut,a donut
14,23151,2409333,244022,http://object-naming-amore.upf.edu//2409333_244022_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2409333.jpg,counter,Banana ice cream,banana ix cream,Banana ice cream
15,15141,2375131,3694761,http://object-naming-amore.upf.edu//2375131_3694761_seed_ambiguous.png,https://cs.stanford.edu/people/rak248/VG_100K/2375131.jpg,bench,A child eating a meal,A toddler boy eating a fruit and veg omelette,A child with a fork and a plate of food in front of him
16,11816,2363189,767379,http://object-naming-amore.upf.edu//2363189_767379_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K/2363189.jpg,bench,The bench,A park bench,A bench in a park with a tree in the background
17,13827,2370391,3858862,http://object-naming-amore.upf.edu//2370391_3858862_seed_ambiguous.png,https://cs.stanford.edu/people/rak248/VG_100K/2370391.jpg,counter,a laptop computer,The computer with the video screen and a black monitor,a coffee mug with a picture of two men on the front and a picture of a laptop on the
18,2697,2322857,3313417,http://object-naming-amore.upf.edu//2322857_3313417_supercat_ambiguous.png,https://cs.stanford.edu/people/rak248/VG_100K/2322857.jpg,bottle,A bottle of wine,bottle of red wine,A bottle of wine and a bag of carrots
19,500,4549,1560609,http://object-naming-amore.upf.edu//4549_1560609_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K_2/4549.jpg,carpet,The chair,the first chair on the left of the doorway,Chair
20,10622,2358996,2387736,http://object-naming-amore.upf.edu//2358996_2387736_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K/2358996.jpg,carpet,"the first name that comes to mind is ""kim jong-il""",company logo,그리고 그리고
21,15968,2378105,1733879,http://object-naming-amore.upf.edu//2378105_1733879_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2378105.jpg,table,The orange bowl,Oranges,A bowl of oranges
22,23739,2411507,310842,http://object-naming-amore.upf.edu//2411507_310842_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2411507.jpg,desk,A desk with a laptop computer on it,,A desk with a laptop on it
23,15852,2377717,3295066,http://object-naming-amore.upf.edu//2377717_3295066_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2377717.jpg,desk,laptop,Laptop computer,a laptop computer
