number label,actual name,familiarity score,nameability score,color saliency,texture saliency,"BLIP-2, greedy, caption","BLIP-2, greedy, bool","BLIP-2, greedy, name","BLIP-2, greedy, real","BLIP-2, nucleus, top_p=0.1, caption","BLIP-2, nucleus, top_p=0.1, bool","BLIP-2, nucleus, top_p=0.1, name","BLIP-2, nucleus, top_p=0.1, real","BLIP-2, nucleus, top_p=0.5, caption","BLIP-2, nucleus, top_p=0.5, bool","BLIP-2, nucleus, top_p=0.5, name","BLIP-2, nucleus, top_p=0.5, real","BLIP-2, nucleus, top_p=0.9, caption","BLIP-2, nucleus, top_p=0.9, bool","BLIP-2, nucleus, top_p=0.9, name","BLIP-2, nucleus, top_p=0.9, real","BLIP-2, beam, num_beams=1, caption","BLIP-2, beam, num_beams=1, bool","BLIP-2, beam, num_beams=1, name","BLIP-2, beam, num_beams=1, real","BLIP-2, beam, num_beams=5, caption","BLIP-2, beam, num_beams=5, bool","BLIP-2, beam, num_beams=5, name","BLIP-2, beam, num_beams=5, real","BLIP-2, beam, num_beams=10, caption","BLIP-2, beam, num_beams=10, bool","BLIP-2, beam, num_beams=10, name","BLIP-2, beam, num_beams=10, real"
2001,bee hive trap,19,50,66,14,a pair of orange plastic toys on a white background,"Yes, it is a plastic egg",a yellow plastic ball,A giant orange plastic ball,a pair of orange plastic toys on a white background,"Yes, it is a plastic egg",a yellow plastic ball,A giant orange plastic ball,an orange plastic ball with holes in it,Yes,a ball,A yellow rubber ducky,a orange plastic object sitting on top of a white background,No.,a spoon,This is a real sex robot,a pair of orange plastic toys on a white background,"Yes, it is a plastic egg",a yellow plastic ball,A giant orange plastic ball,a pair of orange plastic toys on a white background,"No, I do not recognize this object.",the object in this image is an orange plastic ball,This is an orange plastic ball with a hole in the middle,a pair of orange plastic toys sitting on top of each other,Unknown,the object in this image is an orange plastic ball,I think it's a dog toy.
2002,bookend,22,83,59,9,a red metal sculpture with a curved shape,"Yes, I recognize this object.",a red vase,A red vase,a red metal sculpture with a curved shape,"Yes, I recognize this object.",a red vase,A red vase,a red sculpture that is shaped like a spiral,No,red vase,It's a vase.,"large sculptural decorative ceramic vase, red",Yes., ,a giant red plastic vase,a red metal sculpture with a curved shape,"Yes, I recognize this object.",a red vase,A red vase,a red metal sculpture on a white background,Unknown,a red vase,It's a red vase.,a red metal sculpture on a white background,Unknown,a red vase,It's a red vase.
2003,fidget toy,59,74,19,0,a set of colorful wooden blocks arranged in a line,"Yes, it is a wooden block",a wooden block,A toy that is made of wood and plastic,a set of colorful wooden blocks arranged in a line,"Yes, it is a wooden block",a wooden block,A toy that's been in the freezer for a year,"colorful blocks with the letters b, e, i, o, s, and p",Yes,a set of four colored blocks,It's a block puzzle.,four plastic colored blocks arranged in a pattern,Yes,the jig,A line of brightly colored wooden blocks,a set of colorful wooden blocks arranged in a line,"Yes, it is a wooden block",a wooden block,A toy that is made of wood and plastic,a set of colorful wooden blocks on a white background,"Yes, I recognize this object.",a stack of multi-colored blocks on a white background,This is a stack of wooden blocks.,a set of colorful wooden blocks on a white background,"Yes, I recognize this object.",the object in this image is a set of wooden blocks,This is a stack of wooden blocks.
2004,pencil sharpener,41,70,48,52,a yellow and orange plastic egg shaped object,"Yes, it is a plastic ball with a hole in the middle",a ball,A plastic egg shaped object with a hole in the middle,a yellow and orange plastic egg shaped object,"Yes, it is a plastic ball with a hole in the middle",a ball,A plastic egg shaped object with a hole in the middle,a yellow and orange ball shaped object,"Yes, it is a plastic egg",a watermelon,An orange and yellow plastic toy,the orange and yellow egg shaped plastic ball has a hole in the center,Yes! It's a round orange and yellow plastic object!,a banana,A dog ball that will take up to four pounds of ball to chew.,a yellow and orange plastic egg shaped object,"Yes, it is a plastic ball with a hole in the middle",a ball,A plastic egg shaped object with a hole in the middle,an orange and yellow plastic ball with a hole in the middle,Unknown,the object in this image is an orange and yellow ball with a hole in the middle,This is an orange and yellow plastic ball with a hole in the middle,an orange and yellow plastic ball with a hole in the middle,Unknown,the object in this image is an orange and yellow ball with a hole in the middle,This is an orange and yellow plastic ball with a hole in the middle
2005,fish tank stone,6,25,81,13,a pink and blue tie dye headband,"Yes, I recognize this object.",a rainbow unicorn headband,A rainbow unicorn headband,a pink and blue tie dye headband,"Yes, I recognize this object.",a rainbow unicorn headband,A rainbow unicorn headband,rainbow tie dye headband,"Yes, I recognize this object.",a tie dye headband,It's a rainbow tie dye unicorn horn,a colorful rainbow tie dye headband on a white background,The object is a tie dye bandanna with feathers on it,the hat is a colorful fish with a long tail,"Rainbow, glitter, rainbow unicorn, rainbow, rainbow unicorn unicorn unicorn",a pink and blue tie dye headband,"Yes, I recognize this object.",a rainbow unicorn headband,A rainbow unicorn headband,a pink and blue tie dye headband sitting on top of a white surface,Unknown,a rainbow tie-dye tie-dye tie-dye tie-dye tie-,It's a tie-dye headband.,a pink and blue tie dye headband sitting on top of a white surface,Unknown,a rainbow tie-dye tie-dye tie-dye tie-dye tie-,I don't know.  I think it's a unicorn.  I think it's a unicorn
2006,space ship top,34,64,31,3,a silver metal object with a red dot on it,"Yes, it is a star trek replicator",a star trek phaser,A space ship,a silver metal object with a red dot on it,"Yes, it is a star trek replicator",a star trek phaser,A space ship,the ufo has a metal top and a red button,No,a metal and plastic space ship,It's a space ship,"this is an older toy, which is very like a space ship",A silver metal object in the shape of a star wars ship,the ufo,"a starship from Star Trek, complete with warp-drive",a silver metal object with a red dot on it,"Yes, it is a star trek replicator",a star trek phaser,A space ship,a silver metal object on top of a white background,"No, I do not recognize this object.",the object in this image is a model of the ufo from the movie 2001 a space odyssey,"I think it's a space station, but I don't know what kind of space station it is",a close up of a silver metal object on a white background,Unknown,the object in this image is a model of the ufo from the movie 2001 a space odyssey,I don't know.  I don't know.  I don't know.  I don
2007,air blower for cleaning lenses on slr cameras,22,46,78,6,a black ball with a red handle,"Yes, it is a ball with a red handle",a ball,A rubber ball with a red handle,a black ball with a red handle,"Yes, it is a ball with a red handle",a ball,A rubber ball with a red handle,black rubber ball with red handle on white background,Yes,the object in this image is a rubber ball,A black rubber ball with a red handle,a rubber ball on a white background,YES я киноноянку давно,a rubber balloon,"A toy gun, dummy gun, or toy BB gun",a black ball with a red handle,"Yes, it is a ball with a red handle",a ball,A rubber ball with a red handle,a black ball with a red handle on a white background,Unknown,the object in this image is a black ball with a red handle,This is a black rubber ball with a red handle,a black ball with a red handle on a white background,Unknown,the object in this image is a black ball with a red handle,This is a black rubber ball with a red handle
2008,curlers formed together,34,25,48,16,a blue rubber toy with two arms,"Yes, it is a blue rubber band",a knot,A dog toy,a blue rubber toy with two white handles,"Yes, it is a blue rubber band",a knot,A dog toy,a blue rubber toy with two white handles,No,a blue ball and chain,It's a rope toy,a blue foam sculpture that has one of its legs bent,A rubber dog chew toy,a kite,I think it's just a very well-crafted blue plastic dog bone.,a blue rubber toy with two arms,"Yes, it is a blue rubber band",a knot,A dog toy,a pair of blue and white rubber toys on a white background,Unknown,a knot,I think it's a dog toy.,a blue and white dog toy on a white background,Unknown,an object in the shape of a knot,I don't know.  I don't know.  I don't know.  I don
2009,dog toy,47,78,65,45,a toy that looks like a spiky orange object,"Yes, it is a toy that is shaped like a letter x",a spiky orange toy,A dog toy,a toy that looks like a spiky orange object,"Yes, it is a toy with spiky spikes",a spiky orange toy,A dog toy,an orange toy with spiky spikes on it,"Yes, it is a toy shaped like a spiky, orange star",an orange ball shaped toy with spikes,An orange toy shaped like a letter x,orange dog toy with spikes and holes on it,"Yes or no, does this represent a letter X?",A squishy toy with large spikes on it.,"A toy spiky, green sea creature shaped like a j, in the shape of a sea shell",a toy that looks like a spiky orange object,"Yes, it is a toy that is shaped like a letter x",a spiky orange toy,A dog toy,an orange dog toy with spikes on it,Unknown,an orange dog toy with spikes on it,"This is an orange dog toy that looks like a spiky, spiky, spiky, sp",an orange dog toy with spikes on it,Unknown,an orange dog toy with spikes on it,"This is an orange dog toy that is shaped like a spiky, spiky, spiky,"
2010,dog toy,66,52,50,25,a red and blue toy with colorful dots,"Yes, it is a red ball with blue and yellow dots",a red ball with blue and yellow dots,A dog toy,a red and blue toy with colorful dots,"Yes, it is a red ball with blue and yellow dots",a red ball with blue and yellow dots,A dog toy,dog toy with red and blue sprinkles on it,"Yes, it is a red ball with multi colored dots",a dog toy,"It's a red, yellow, and blue ball of dog toys",a red ball with several different colored spots,"Red, multi colored, spiky, squishy toy ball, with a hole in the middle and",the red rubber toy with lots of colorful spots,A dog toy,a red and blue toy with colorful dots,"Yes, it is a red ball with blue and yellow dots",a red ball with blue and yellow dots,A dog toy,a red dog toy with multicolored dots on it,"No, I do not recognize this object",a red ball with multicolored dots on it,"This is a red ball with blue, yellow, and white dots on it",a red dog toy with multicolored dots on it,"No, I do not recognize this object","a red ball with blue, yellow and white dots on it","This is a red ball with blue, yellow, and white dots on it"
