image_path,number label,actual name,familiarity score,nameability score,color saliency,texture saliency,"BLIP-2, greedy, caption","BLIP-2, greedy, bool","BLIP-2, greedy, name","BLIP-2, greedy, real","BLIP-2, greedy, color and textures","BLIP-2, beam, caption","BLIP-2, beam, bool","BLIP-2, OPT-2.7b greedy, name","BLIP-2, beam, real","BLIP-2, beam, color and textures"
data/NOUN-2-600DPI/2001-600.jpg,2001,bee have trap,19,50,66,14,a yellow plastic toy with a hole in it,"yes or no, do you recognize this object?",a yellow plastic ball,A yellow plastic egg shaped object,"(['Yellow'], ['Plastic'])",a close up of an orange plastic toy on a white background,"yes or no, do you recognize this object?",the object in this image is an orange ball with a hole in it,This is an orange plastic ball with a hole in the middle,"(['Orange'], ['Plastic'])"
data/NOUN-2-600DPI/2002-600.jpg,2002,bookend,22,83,59,9,a red metal sculpture of a curved shape,"yes, it is a red vase",a red vase,A red vase,"(['Red'], [])",a red metal sculpture on a white background,"yes or no, do you recognize this object?",a red vase,This is a red vase,"(['Red'], [])"
data/NOUN-2-600DPI/2003-600.jpg,2003,fidget toy,59,74,19,0,a set of colorful wooden blocks with the letters s and t,"yes, it's a wooden block",a block,A toy that is made of wood and plastic,"([], ['Wooden'])",a set of colorful wooden blocks on a white background,"yes or no, do you recognize this object?",a stack of multi-colored wooden blocks on a white background,This is a stack of wooden blocks.,"([], ['Wooden'])"
data/NOUN-2-600DPI/2004-600.jpg,2004,pencil sharpener,41,70,48,52,a plastic orange and yellow ball shaped object,"yes or no, do you recognize this object?",a ball,A plastic egg shaped object with a hole in the middle,"(['Orange', 'Yellow'], ['Plastic'])",an orange and yellow plastic ball with a hole in it,"yes or no, do you recognize this object? to to to to to to to to to",the object in this image is an orange and yellow ball with a hole in the middle,This is an orange and yellow plastic ball with a hole in the middle,"(['Orange', 'Yellow'], ['Plastic'])"
data/NOUN-2-600DPI/2005-600.jpg,2005,fish tank stone,6,25,81,13,a rainbow tie dye headband with a pink and blue feather,"yes or no, do you recognize this object?",a rainbow tie dye unicorn,A rainbow tie dye unicorn headband,"(['Blue', 'Pink'], [])",a rainbow tie dye headband on a white background,"yes or no, do you recognize this object?",a tie-dye tie-dye tie-dye tie-dye tie-d,This is a tie dye rainbow unicorn headband,"([], [])"
data/NOUN-2-600DPI/2006-600.jpg,2006,space ship top,34,64,31,3,a silver metal object with a red dot on it,no,a star trek phaser,A space ship,"(['Red', 'Silver'], [])",a close up of a metal object on a white background,"yes or no, do you recognize this object?",the ufo in this image is the ufo in this image,This is a model of the Enterprise-D from Star Trek: The Next Generation,"([], [])"
data/NOUN-2-600DPI/2007-600.jpg,2007,air blower for slr cameras,22,46,78,6,a black and red ball with a red handle,"yes or no, do you recognize this object?",a black ball with a red handle,A black rubber ball with a red handle,"(['Red', 'Black'], [])",a black ball with a red handle on a white background,"yes or no, do you recognize this object? to to to to to to to to to",the object in this image is a black ball with a red handle,This is a black rubber ball with a red handle,"(['Red', 'Black'], [])"
data/NOUN-2-600DPI/2008.jpg,2008,curlers formed together,34,25,48,16,a blue rubber toy with two arms,"yes or no, do you recognize this object?",a knot,A blue rubber band,"(['Blue'], ['Rubber'])",a pair of blue and white rubber bands on a white background,"yes or no, do you recognize this object?",a knot,I think it's a knot.,"(['Blue'], ['Rubber'])"
data/NOUN-2-600DPI/2009-600.jpg,2009,dog toy,47,78,65,45,a toy that looks like a spiky orange ball,"yes or no, do you recognize this object?",a spiky orange toy,A dog toy,"(['Orange'], [])",an orange dog toy with spikes on it,"yes or no, do you recognize this object? to to to to to to to to to",an orange dog toy with spikes on it,This is an orange dog toy with spikes on it,"(['Orange'], [])"
data/NOUN-2-600DPI/2010-600.jpg,2010,dog toy pet shop,66,52,50,25,a red and yellow ball with colorful dots,"yes or no, do you recognize this object?",a red ball with colorful dots,A dog toy,"(['Red', 'Yellow'], [])",a red ball with colorful dots on it,"yes or no, do you recognize this object?","a red ball with blue, yellow, and white dots on it",This is a red ball with multi colored dots on it,"(['Red'], [])"
data/NOUN-2-600DPI/2011-600.jpg,2011,noisemaker,22,75,88,3,a toy with a green and orange handle,"yes or no, do you recognize this object?",a plastic toy with two orange and green balls,A plastic toy with a green handle and orange handle,"(['Orange', 'Green'], [])",a green and orange plastic toy on a white background,"yes or no, do you recognize this object? to to to to to to to to to",a plastic toy with two orange and green balls on top of it,This is a plastic toy with two orange and one green handle,"(['Orange', 'Green'], ['Plastic'])"
data/NOUN-2-600DPI/2012-600.jpg,2012,coiled worm toy,41,50,59,41,a red and orange plastic sea urchin,"yes or no, do you recognize this object?",a red sea urchin,A red sea urchin,"(['Red', 'Orange'], ['Plastic'])",a pink sea urchin on a white background,"yes or no, do you recognize this object?",a sea urchin,This is a red sea urchin,"(['Pink'], [])"
data/NOUN-2-600DPI/2013-600.jpg,2013,sling shot,6,20,87,6,a toy that is made of orange and yellow plastic,"yes or no, do you recognize this object?",a tripod,A giant orange and yellow plastic toy,"(['Orange', 'Yellow'], ['Plastic'])",an orange and yellow plastic toy on a white background,"yes or no, do you recognize this object?",the object in this image is an orange and yellow toy,"This is an orange, yellow, and green plastic toy that is shaped like a tripod","(['Orange', 'Yellow'], ['Plastic'])"
data/NOUN-2-600DPI/2014-600.jpg,2014,this light-up toy,38,75,39,0,a toy with a colorful ball and a yellow handle,"yes, it's a ball",a ball,A ball with a hole in it,"(['Yellow'], [])",a pink and yellow ball with a yellow handle,"yes or no, do you recognize this object?",the object in this image is a pink ball with a yellow handle,This is a plastic ball with a pink and yellow design on it,"(['Yellow', 'Pink'], [])"
data/NOUN-2-600DPI/2015-600.jpg,2015,ball catcher,38,78,55,10,a blue plastic shoe holder with holes on the bottom,"yes or no, do you recognize this object?",a blue plastic shoe,A blue plastic shoe holder,"(['Blue'], ['Plastic'])",a blue plastic shoe holder on a white background,"yes or no, do you recognize this object?",the object in this image is a blue plastic shoe holder,This is a blue plastic shoe holder with a hole in the middle,"(['Blue'], ['Plastic'])"
data/NOUN-2-600DPI/2016 600dpi.jpg,2016,bird toy,28,21,61,6,a blue and orange mop with a blue handle,"yes or no, do you recognize this object?",a mop,A dog toy,"(['Orange', 'Blue'], [])",an orange and blue mop with blue and white tassels,"yes or no, do you recognize this object?",the object in this image is an orange cone with blue and white tassels,"It's a mop. to to to to to to to to to to to to,","(['Orange', 'Blue', 'White'], [])"
data/NOUN-2-600DPI/2017-600.jpg,2017,kenetic wheel,41,29,23,13,a metal and plastic toy with a blue handle,"yes, it's a metal ball",a cat toy,A metal ball with a plastic handle,"(['Blue'], ['Plastic'])",a metal hook with a blue and orange ball attached to it,"yes or no, do you recognize this object?",the object in this image is a metal wire with a blue and orange ball attached to it,This is a cat toy. to to to to to to to to to to to to.,"(['Orange', 'Blue'], [])"
